Grouping;no;SourceRoom;Exist;Doors;Rooms;PathLength;SimulationTimeInSec
1;4;46;504;6;7;34,09;44
1;4;46;505;4;5;16,97;23,25
1;4;46;506;2;3;8,14;12,75
1;4;46;507;5;6;20,51;24,25
1;5;1;501;2;3;6,66;14,2
1;5;1;502;2;3;8,72;13,8
1;5;1;503;5;6;33,91;42
1;5;1;504;5;6;33,91;43,6
1;5;1;505;9;10;49,81;66
1;5;1;506;9;10;50,98;68
1;5;1;507;12;13;63,35;83,75
1;5;19;501;5;6;26,31;37,8
1;5;19;502;4;5;23,77;28,6
1;5;19;503;1;2;6,5;8,6
1;5;19;504;1;2;6,5;7,4
1;5;19;505;5;6;22,4;30,2
1;5;19;506;5;6;23,57;30
1;5;19;507;8;9;35,94;48,6
1;5;46;501;10;11;53,9;74,4
1;5;46;502;9;10;51,36;58,5
1;5;46;503;6;7;34,09;37
1;5;46;504;6;7;34,09;44,2
1;5;46;505;4;5;16,97;22,4
1;5;46;506;2;3;8,14;12,6
1;5;46;507;5;6;20,51;24,75
1;6;1;501;2;3;6,66;13
1;6;1;502;2;3;8,72;13
1;6;1;503;5;6;33,91;43
1;6;1;504;5;6;33,91;44
1;6;1;505;9;10;49,81;6
1;6;1;506;9;10;50,98;66,5
1;6;1;507;12;13;63,35;85,4
1;6;19;501;5;6;26,31;37
1;6;19;502;4;5;23,77;29,5
1;6;19;503;1;2;6,5;8
1;6;19;504;1;2;6,5;7
1;6;19;505;5;6;22,4;29,5
1;6;19;506;5;6;23,57;29
1;6;19;507;8;9;35,94;48
1;6;46;501;10;11;53,9;78
1;6;46;502;9;10;51,36;59
1;6;46;503;6;7;34,09;36
1;6;46;504;6;7;34,09;44
1;6;46;505;4;5;16,97;22
1;6;46;506;2;3;8,14;13
1;6;46;507;5;6;20,51;24
1;7;1;501;2;3;6,66;14
1;7;1;502;2;3;8,72;13
1;7;1;503;5;6;33,91;43
1;7;1;504;5;6;33,91;43
1;7;1;505;9;10;49,81;6
1;7;1;506;9;10;50,98;6
1;7;1;507;12;13;63,35;8
1;7;19;501;5;6;26,31;3
1;7;19;502;4;5;23,77;29
1;7;19;503;1;2;6,5;8
1;7;19;504;1;2;6,5;7
1;7;19;505;5;6;22,4;29
1;7;19;506;5;6;23,57;29
1;7;19;507;8;9;35,94;48
1;7;46;501;10;11;53,9;7
1;7;46;502;9;10;51,36;61
1;7;46;503;6;7;34,09;38
1;7;46;504;6;7;34,09;43
1;7;46;505;4;5;16,97;22
1;7;46;506;2;3;8,14;13
1;7;46;507;5;6;20,51;24
1;8;1;501;2;3;6,66;15,25
1;8;1;502;2;3;8,72;13,625
1;8;1;503;5;6;33,91;42,75
1;8;1;504;5;6;33,91;44
1;8;1;505;9;10;49,81;6
1;8;1;506;9;10;50,98;66
1;8;1;507;12;13;63,35;85,125
1;8;19;501;5;6;26,31;38,625
1;8;19;502;4;5;23,77;30,125
1;8;19;503;1;2;6,5;8,875
1;8;19;504;1;2;6,5;7,375
1;8;19;505;5;6;22,4;29
1;8;19;506;5;6;23,57;29,625
1;8;19;507;8;9;35,94;47,625
1;8;46;501;10;11;53,9;7
1;8;46;502;9;10;51,36;61
1;8;46;503;6;7;34,09;38,75
1;8;46;504;6;7;34,09;43,875
1;8;46;505;4;5;16,97;23,375
1;8;46;506;2;3;8,14;13,25
1;8;46;507;5;6;20,51;24
1;9;1;501;2;3;6,66;13,75
1;9;1;502;2;3;8,72;13
1;9;1;503;5;6;33,91;43
1;9;1;504;5;6;33,91;44
1;9;1;505;9;10;49,81;6
1;9;1;506;9;10;50,98;6
1;9;1;507;12;13;63,35;8
1;9;19;501;5;6;26,31;3
1;9;19;502;4;5;23,77;3
1;9;19;503;1;2;6,5;888
1;9;19;504;1;2;6,5;7
1;9;19;505;5;6;22,4;28,875
1;9;19;506;5;6;23,57;29
1;9;19;507;8;9;35,94;4
1;9;46;501;10;11;53,9;74
1;9;46;502;9;10;51,36;58
1;9;46;503;6;7;34,09;37
1;9;46;504;6;7;34,09;4
1;9;46;505;4;5;16,97;2
1;9;46;506;2;3;8,14;13
1;9;46;507;5;6;20,51;23,5
1;10;1;501;2;3;6,66;16,1
1;10;1;502;2;3;8,72;13,2
1;10;1;503;5;6;33,91;4
1;10;1;504;5;6;33,91;44,1
1;10;1;505;9;10;49,81;6
1;10;1;506;9;10;50,98;6
1;10;1;507;12;13;63,35;8
1;10;19;501;5;6;26,31;3
1;10;19;502;4;5;23,77;30,1
1;10;19;503;1;2;6,5;8,7
1;10;19;504;1;2;6,5;7,4
1;10;19;505;5;6;22,4;2
1;10;19;506;5;6;23,57;31,375
1;10;19;507;8;9;35,94;49,75
1;10;46;501;10;11;53,9;74,5
1;10;46;502;9;10;51,36;61,6
1;10;46;503;6;7;34,09;38,3
1;10;46;504;6;7;34,09;4
1;10;46;505;4;5;16,97;22,8
1;10;46;506;2;3;8,14;13,8
1;10;46;507;5;6;20,51;24,4
1;11;1;501;2;3;6,66;16
1;11;1;502;2;3;8,72;13
1;11;1;503;5;6;33,91;4
1;11;1;504;5;6;33,91;4
1;11;1;505;9;10;49,81;6
1;11;1;506;9;10;50,98;669
1;11;1;507;12;13;63,35;8
1;11;19;501;5;6;26,31;3
1;11;19;502;4;5;23,77;30
1;11;19;503;1;2;6,5;8
1;11;19;504;1;2;6,5;72
1;11;19;505;5;6;22,4;29
1;11;19;506;5;6;23,57;29
1;11;19;507;8;9;35,94;4
1;11;46;501;10;11;53,9;739
1;11;46;502;9;10;51,36;5
1;11;46;503;6;7;34,09;3
1;11;46;504;6;7;34,09;44,3
1;11;46;505;4;5;16,97;2
1;11;46;506;2;3;8,14;13
1;11;46;507;5;6;20,51;24,3
1;12;1;501;2;3;6,66;16
1;12;1;502;2;3;8,72;13
1;12;1;503;5;6;33,91;44
1;12;1;504;5;6;33,91;4
1;12;1;505;9;10;49,81;6
1;12;1;506;9;10;50,98;66,1
1;12;1;507;12;13;63,35;8
1;12;19;501;5;6;26,31;40
1;12;19;502;4;5;23,77;30,25
1;12;19;503;1;2;6,5;8
1;12;19;504;1;2;6,5;7
1;12;19;505;5;6;22,4;29,5
1;12;19;506;5;6;23,57;29,75
1;12;19;507;8;9;35,94;48
1;12;46;501;10;11;53,9;7
1;12;46;502;9;10;51,36;60
1;12;46;503;6;7;34,09;3
1;12;46;504;6;7;34,09;4
1;12;46;505;4;5;16,97;22,5
1;12;46;506;2;3;8,14;13,5
1;12;46;507;5;6;20,51;23
1;13;1;501;2;3;6,66;15
1;13;1;502;2;3;8,72;13
1;13;1;503;5;6;33,91;4
1;13;1;504;5;6;33,91;4
1;13;1;505;9;10;49,81;663
1;13;1;506;9;10;50,98;6
1;13;1;507;12;13;63,35;8
1;13;19;501;5;6;26,31;3
1;13;19;502;4;5;23,77;3
1;13;19;503;1;2;6,5;8
1;13;19;504;1;2;6,5;73
1;13;19;505;5;6;22,4;2
1;13;19;506;5;6;23,57;31
1;13;19;507;8;9;35,94;49
1;13;46;501;10;11;53,9;7
1;13;46;502;9;10;51,36;5
1;13;46;503;6;7;34,09;36
1;13;46;504;6;7;34,09;44
1;13;46;505;4;5;16,97;22
1;13;46;506;2;3;8,14;13
1;13;46;507;5;6;20,51;24,75
1;14;1;501;2;3;6,66;16
1;14;1;502;2;3;8,72;13
1;14;1;503;5;6;33,91;44
1;14;1;504;5;6;33,91;4
1;14;1;505;9;10;49,81;6
1;14;1;506;9;10;50,98;66,5
1;14;1;507;12;13;63,35;84
1;14;19;501;5;6;26,31;38,25
1;14;19;502;4;5;23,77;29
1;14;19;503;1;2;6,5;8
1;14;19;504;1;2;6,5;7
1;14;19;505;5;6;22,4;29
1;14;19;506;5;6;23,57;30
1;14;19;507;8;9;35,94;4
1;14;46;501;10;11;53,9;7
1;14;46;502;9;10;51,36;5
1;14;46;503;6;7;34,09;36,5
1;14;46;504;6;7;34,09;43
1;14;46;505;4;5;16,97;22
1;14;46;506;2;3;8,14;13
1;14;46;507;5;6;20,51;23
1;15;1;501;2;3;6,66;16
1;15;1;502;2;3;8,72;13,4
1;15;1;503;5;6;33,91;43
1;15;1;504;5;6;33,91;43,4
1;15;1;505;9;10;49,81;6
1;15;1;506;9;10;50,98;6
1;15;1;507;12;13;63,35;8
1;15;19;501;5;6;26,31;39,4
1;15;19;502;4;5;23,77;30
1;15;19;503;1;2;6,5;8,6
1;15;19;504;1;2;6,5;7
1;15;19;505;5;6;22,4;29
1;15;19;506;5;6;23,57;30,4
1;15;19;507;8;9;35,94;4
1;15;46;501;10;11;53,9;7
1;15;46;502;9;10;51,36;61
1;15;46;503;6;7;34,09;3
1;15;46;504;6;7;34,09;4
1;15;46;505;4;5;16,97;22,4
1;15;46;506;2;3;8,14;13
1;15;46;507;5;6;20,51;23
1;16;1;501;2;3;6,66;170,625
1;16;1;502;2;3;8,72;13,5
1;16;1;503;5;6;33,91;4
1;16;1;504;5;6;33,91;43,75
1;16;1;505;9;10;49,81;6
1;16;1;506;9;10;50,98;66,5
1;16;1;507;12;13;63,35;8
1;16;19;501;5;6;26,31;39
1;16;19;502;4;5;23,77;30,375
1;16;19;503;1;2;6,5;8,625
1;16;19;504;1;2;6,5;7,25
1;16;19;505;5;6;22,4;29,625
1;16;19;506;5;6;23,57;303,125
1;16;19;507;8;9;35,94;49,625
1;16;46;501;10;11;53,9;7
1;16;46;502;9;10;51,36;5
1;16;46;503;6;7;34,09;3
1;16;46;504;6;7;34,09;44
1;16;46;505;4;5;16,97;22,625
1;16;46;506;2;3;8,14;13,25
1;16;46;507;5;6;20,51;239,375
1;17;1;501;2;3;6,66;16
1;17;1;502;2;3;8,72;13
1;17;1;503;5;6;33,91;44
1;17;1;504;5;6;33,91;43
1;17;1;505;9;10;49,81;6
1;17;1;506;9;10;50,98;6
1;17;1;507;12;13;63,35;843,125
1;17;19;501;5;6;26,31;39,25
1;17;19;502;4;5;23,77;30
1;17;19;503;1;2;6,5;8
1;17;19;504;1;2;6,5;7
1;17;19;505;5;6;22,4;29
1;17;19;506;5;6;23,57;300,625
1;17;19;507;8;9;35,94;4
1;17;46;501;10;11;53,9;7
1;17;46;502;9;10;51,36;603,125
1;17;46;503;6;7;34,09;374,375
1;17;46;504;6;7;34,09;44
1;17;46;505;4;5;16,97;22,75
1;17;46;506;2;3;8,14;13
1;17;46;507;5;6;20,51;2
1;18;1;501;2;3;6,66;16
1;18;1;502;2;3;8,72;13
1;18;1;503;5;6;33,91;44
1;18;1;504;5;6;33,91;43
1;18;1;505;9;10;49,81;6
1;18;1;506;9;10;50,98;6
1;18;1;507;12;13;63,35;84,625
1;18;19;501;5;6;26,31;38
1;18;19;502;4;5;23,77;30
1;18;19;503;1;2;6,5;861
1;18;19;504;1;2;6,5;7
1;18;19;505;5;6;22,4;29
1;18;19;506;5;6;23,57;30
1;18;19;507;8;9;35,94;49
1;18;46;501;10;11;53,9;74,375
1;18;46;502;9;10;51,36;59
1;18;46;503;6;7;34,09;371
1;18;46;504;6;7;34,09;4
1;18;46;505;4;5;16,97;22
1;18;46;506;2;3;8,14;13
1;18;46;507;5;6;20,51;2
1;19;1;501;2;3;6,66;16,375
1;19;1;502;2;3;8,72;1
1;19;1;503;5;6;33,91;4
1;19;1;504;5;6;33,91;43
1;19;1;505;9;10;49,81;6
1;19;1;506;9;10;50,98;6
1;19;1;507;12;13;63,35;8
1;19;19;501;5;6;26,31;40
1;19;19;502;4;5;23,77;30
1;19;19;503;1;2;6,5;8
1;19;19;504;1;2;6,5;72
1;19;19;505;5;6;22,4;29
1;19;19;506;5;6;23,57;3
1;19;19;507;8;9;35,94;4
1;19;46;501;10;11;53,9;74,5
1;19;46;502;9;10;51,36;60
1;19;46;503;6;7;34,09;3
1;19;46;504;6;7;34,09;4
1;19;46;505;4;5;16,97;2
1;19;46;506;2;3;8,14;1
1;19;46;507;5;6;20,51;2
1;20;1;501;2;3;6,66;17,45
1;20;1;502;2;3;8,72;13,2
1;20;1;503;5;6;33,91;4
1;20;1;504;5;6;33,91;4
1;20;1;505;9;10;49,81;6
1;20;1;506;9;10;50,98;6
1;20;1;507;12;13;63,35;8
1;20;19;501;5;6;26,31;39
1;20;19;502;4;5;23,77;30
1;20;19;503;1;2;6,5;8,65
1;20;19;504;1;2;6,5;7,3
1;20;19;506;5;6;23,57;3
1;20;19;507;8;9;35,94;4
1;20;46;501;10;11;53,9;7
1;20;46;502;9;10;51,36;5
1;20;46;503;6;7;34,09;37
1;20;46;504;6;7;34,09;4
1;20;46;505;4;5;16,97;22
1;20;46;506;2;3;8,14;13,4
1;20;46;507;5;6;20,51;23,9
1;21;1;501;2;3;6,66;17
1;21;1;502;2;3;8,72;13
1;21;1;503;5;6;33,91;44,25
1;21;1;504;5;6;33,91;43
1;21;1;505;9;10;49,81;65,6
1;21;1;506;9;10;50,98;66,35
1;21;1;507;12;13;63,35;8
1;21;19;501;5;6;26,31;39
1;21;19;502;4;5;23,77;31
1;21;19;503;1;2;6,5;8
1;21;19;504;1;2;6,5;7
1;21;19;505;5;6;22,4;30,2
1;21;19;506;5;6;23,57;30,25
1;21;19;507;8;9;35,94;4
1;21;46;501;10;11;53,9;74,15
1;21;46;502;9;10;51,36;59,2
1;21;46;503;6;7;34,09;3
1;21;46;504;6;7;34,09;4
1;21;46;505;4;5;16,97;2
1;21;46;506;2;3;8,14;13
1;21;46;507;5;6;20,51;24,15
1;22;1;501;2;3;6,66;18
1;22;1;502;2;3;8,72;13
1;22;1;503;5;6;33,91;44
1;22;1;504;5;6;33,91;4
1;22;1;505;9;10;49,81;6
1;22;1;506;9;10;50,98;66,2
1;22;1;507;12;13;63,35;8
1;22;19;501;5;6;26,31;38
1;22;19;502;4;5;23,77;30
1;22;19;503;1;2;6,5;8
1;22;19;504;1;2;6,5;7
1;22;19;505;5;6;22,4;30
1;22;19;506;5;6;23,57;3
1;22;19;507;8;9;35,94;51
1;22;46;501;10;11;53,9;74,6
1;22;46;502;9;10;51,36;58,95
1;22;46;503;6;7;34,09;36,55
1;22;46;504;6;7;34,09;44
1;22;46;505;4;5;16,97;23
1;22;46;506;2;3;8,14;13
1;22;46;507;5;6;20,51;24
1;23;1;501;2;3;6,66;18
1;23;1;502;2;3;8,72;13
1;23;1;503;5;6;33,91;4
1;23;1;504;5;6;33,91;44
1;23;1;505;9;10;49,81;6
1;23;1;506;9;10;50,98;6
1;23;1;507;12;13;63,35;856
1;23;19;501;5;6;26,31;4
1;23;19;502;4;5;23,77;31
1;23;19;503;1;2;6,5;8
1;23;19;504;1;2;6,5;7
1;23;19;505;5;6;22,4;30
1;23;19;506;5;6;23,57;31
1;23;19;507;8;9;35,94;5
1;23;46;501;10;11;53,9;740
1;23;46;502;9;10;51,36;5
1;23;46;503;6;7;34,09;3
1;23;46;504;6;7;34,09;4
1;23;46;505;4;5;16,97;2
1;23;46;506;2;3;8,14;13
1;23;46;507;5;6;20,51;2
1;24;1;501;2;3;6,66;18
1;24;1;502;2;3;8,72;13
1;24;1;503;5;6;33,91;4
1;24;1;504;5;6;33,91;4
1;24;1;505;9;10;49,81;669
1;24;1;506;9;10;50,98;6
1;24;1;507;12;13;63,35;8
1;24;19;501;5;6;26,31;4
1;24;19;502;4;5;23,77;31
1;24;19;503;1;2;6,5;8
1;24;19;504;1;2;6,5;7
1;24;19;505;5;6;22,4;30
1;24;19;506;5;6;23,57;31
1;24;19;507;8;9;35,94;5
1;24;46;501;10;11;53,9;7
1;24;46;502;9;10;51,36;5
1;24;46;503;6;7;34,09;3
1;24;46;504;6;7;34,09;44
1;24;46;505;4;5;16,97;2
1;24;46;506;2;3;8,14;13
1;24;46;507;5;6;20,51;23,875
1;25;1;501;2;3;6,66;18,52
1;25;1;502;2;3;8,72;13,04
1;25;1;503;5;6;33,91;44,25
1;25;1;504;5;6;33,91;4
1;25;1;505;9;10;49,81;6
1;25;1;506;9;10;50,98;66,2
1;25;1;507;12;13;63,35;8
1;25;19;501;5;6;26,31;39
1;25;19;502;4;5;23,77;31,36
1;25;19;503;1;2;6,5;8,68
1;25;19;504;1;2;6,5;7,32
1;25;19;505;5;6;22,4;30
1;25;19;506;5;6;23,57;3
1;25;19;507;8;9;35,94;51,125
1;25;46;501;10;11;53,9;7
1;25;46;502;9;10;51,36;59
1;25;46;503;6;7;34,09;38,125
1;25;46;504;6;7;34,09;44,25
1;25;46;505;4;5;16,97;22,75
1;25;46;506;2;3;8,14;13,04
1;25;46;507;5;6;20,51;24,08
1;26;1;501;2;3;6,66;19
1;26;1;502;2;3;8,72;13
1;26;1;503;5;6;33,91;4
1;26;1;504;5;6;33,91;44,04
1;26;1;505;9;10;49,81;65,4
1;26;1;506;9;10;50,98;65,84
1;26;1;507;12;13;63,35;84,84
1;26;19;501;5;6;26,31;4
1;26;19;502;4;5;23,77;31
1;26;19;503;1;2;6,5;8
1;26;19;504;1;2;6,5;73
1;26;19;505;5;6;22,4;30,36
1;26;19;506;5;6;23,57;3
1;26;19;507;8;9;35,94;51
1;26;46;501;10;11;53,9;7
1;26;46;502;9;10;51,36;61
1;26;46;503;6;7;34,09;37,04
1;26;46;504;6;7;34,09;45
1;26;46;505;4;5;16,97;22
1;26;46;506;2;3;8,14;13
1;26;46;507;5;6;20,51;2
1;27;1;501;2;3;6,66;19
1;27;1;502;2;3;8,72;13
1;27;1;503;5;6;33,91;4
1;27;1;504;5;6;33,91;4
1;27;1;505;9;10;49,81;6
1;27;1;506;9;10;50,98;6
1;27;1;507;12;13;63,35;8
1;27;19;501;5;6;26,31;4
1;27;19;502;4;5;23,77;30,84
1;27;19;503;1;2;6,5;8
1;27;19;504;1;2;6,5;7
1;27;19;505;5;6;22,4;30
1;27;19;506;5;6;23,57;31
1;27;19;507;8;9;35,94;5
1;27;46;501;10;11;53,9;7
1;27;46;502;9;10;51,36;61,32
1;27;46;503;6;7;34,09;37,2
1;27;46;504;6;7;34,09;44,375
1;27;46;505;4;5;16,97;2
1;27;46;506;2;3;8,14;13
1;27;46;507;5;6;20,51;24
1;28;1;501;2;3;6,66;19,25
1;28;1;502;2;3;8,72;13
1;28;1;503;5;6;33,91;4
1;28;1;504;5;6;33,91;4
1;28;1;505;9;10;49,81;6
1;28;1;506;9;10;50,98;6
1;28;1;507;12;13;63,35;85,5
1;28;19;501;5;6;26,31;4
1;28;19;502;4;5;23,77;31
1;28;19;503;1;2;6,5;8
1;28;19;504;1;2;6,5;7
1;28;19;505;5;6;22,4;3
1;28;19;506;5;6;23,57;3
1;28;19;507;8;9;35,94;5
1;28;46;501;10;11;53,9;741
1;28;46;502;9;10;51,36;6
1;28;46;503;6;7;34,09;3
1;28;46;504;6;7;34,09;4
1;28;46;505;4;5;16,97;22
1;28;46;506;2;3;8,14;13
1;28;46;507;5;6;20,51;24
1;29;1;501;2;3;6,66;19
1;29;1;502;2;3;8,72;1
1;29;1;503;5;6;33,91;4
1;29;1;504;5;6;33,91;4
1;29;1;505;9;10;49,81;6
1;29;1;506;9;10;50,98;6
1;29;1;507;12;13;63,35;8
1;29;19;501;5;6;26,31;40
1;29;19;502;4;5;23,77;31
1;29;19;503;1;2;6,5;8
1;29;19;504;1;2;6,5;7
1;29;19;505;5;6;22,4;30,25
1;29;19;506;5;6;23,57;3
1;29;19;507;8;9;35,94;51
1;29;46;501;10;11;53,9;7
1;29;46;502;9;10;51,36;60
1;29;46;503;6;7;34,09;3
1;29;46;504;6;7;34,09;4
1;29;46;505;4;5;16,97;22
1;29;46;506;2;3;8,14;13
1;29;46;507;5;6;20,51;2
1;30;1;501;2;3;6,66;19
1;30;1;502;2;3;8,72;13
1;30;1;503;5;6;33,91;4
1;30;1;504;5;6;33,91;4
1;30;1;505;9;10;49,81;6
1;30;1;506;9;10;50,98;6
1;30;1;507;12;13;63,35;8
1;30;19;501;5;6;26,31;3
1;30;19;502;4;5;23,77;32,1
1;30;19;503;1;2;6,5;8
1;30;19;504;1;2;6,5;7
1;30;19;505;5;6;22,4;30
1;30;19;506;5;6;23,57;3
1;30;19;507;8;9;35,94;50
1;30;46;501;10;11;53,9;7
1;30;46;502;9;10;51,36;6
1;30;46;503;6;7;34,09;37,75
1;30;46;504;6;7;34,09;4
1;30;46;505;4;5;16,97;22
1;30;46;506;2;3;8,14;13
1;30;46;507;5;6;20,51;24
1;31;1;501;2;3;6,66;1
1;31;1;502;2;3;8,72;1
1;31;1;503;5;6;33,91;44,4
1;31;1;504;5;6;33,91;4
1;31;1;505;9;10;49,81;6
1;31;1;506;9;10;50,98;6
1;31;1;507;12;13;63,35;8
1;31;19;501;5;6;26,31;4
1;31;19;502;4;5;23,77;31
1;31;19;503;1;2;6,5;8
1;31;19;504;1;2;6,5;7
1;31;19;505;5;6;22,4;30
1;31;19;506;5;6;23,57;3
1;31;19;507;8;9;35,94;51
1;31;46;501;10;11;53,9;7
1;31;46;502;9;10;51,36;60,9
1;31;46;503;6;7;34,09;3
1;31;46;504;6;7;34,09;4
1;31;46;505;4;5;16,97;22
1;31;46;506;2;3;8,14;13
1;31;46;507;5;6;20,51;2
1;32;1;501;2;3;6,66;1
1;32;1;502;2;3;8,72;130,625
1;32;1;503;5;6;33,91;44,75
1;32;1;504;5;6;33,91;44
1;32;1;505;9;10;49,81;6
1;32;1;506;9;10;50,98;6
1;32;1;507;12;13;63,35;8
1;32;19;501;5;6;26,31;4
1;32;19;502;4;5;23,77;3
1;32;19;503;1;2;6,5;8,625
1;32;19;504;1;2;6,5;7,25
1;32;19;505;5;6;22,4;3
1;32;19;506;5;6;23,57;32,8
1;32;19;507;8;9;35,94;51
1;32;46;501;10;11;53,9;7
1;32;46;502;9;10;51,36;60
1;32;46;503;6;7;34,09;37
1;32;46;504;6;7;34,09;4
1;32;46;505;4;5;16,97;2
1;32;46;506;2;3;8,14;1
1;32;46;507;5;6;20,51;24,25
1;33;1;501;2;3;6,66;20
1;33;1;502;2;3;8,72;1
1;33;1;503;5;6;33,91;4
1;33;1;504;5;6;33,91;4
1;33;1;505;9;10;49,81;66,25
1;33;1;506;9;10;50,98;6
1;33;1;507;12;13;63,35;8
1;33;19;501;5;6;26,31;3
1;33;19;502;4;5;23,77;32
1;33;19;503;1;2;6,5;8
1;33;19;504;1;2;6,5;7
1;33;19;505;5;6;22,4;3
1;33;19;506;5;6;23,57;3
1;33;19;507;8;9;35,94;52,8
1;33;46;501;10;11;53,9;7
1;33;46;502;9;10;51,36;6
1;33;46;503;6;7;34,09;37
1;33;46;504;6;7;34,09;446,875
1;33;46;505;4;5;16,97;22
1;33;46;506;2;3;8,14;13
1;33;46;507;5;6;20,51;24
1;34;1;501;2;3;6,66;20
1;34;1;502;2;3;8,72;13
1;34;1;503;5;6;33,91;44
1;34;1;504;5;6;33,91;4
1;34;1;505;9;10;49,81;6
1;34;1;506;9;10;50,98;675,625
1;34;1;507;12;13;63,35;85,75
1;34;19;501;5;6;26,31;41
1;34;19;502;4;5;23,77;3
1;34;19;503;1;2;6,5;8
1;34;19;504;1;2;6,5;7
1;34;19;505;5;6;22,4;30
1;34;19;506;5;6;23,57;3
1;34;19;507;8;9;35,94;5
1;34;46;501;10;11;53,9;746
1;34;46;502;9;10;51,36;60
1;34;46;503;6;7;34,09;3
1;34;46;504;6;7;34,09;44
1;34;46;505;4;5;16,97;2
1;34;46;506;2;3;8,14;13
1;34;46;507;5;6;20,51;24
1;35;1;501;2;3;6,66;20
1;35;1;502;2;3;8,72;13
1;35;1;503;5;6;33,91;4
1;35;1;504;5;6;33,91;4
1;35;1;505;9;10;49,81;6
1;35;1;506;9;10;50,98;6
1;35;1;507;12;13;63,35;863,125
1;35;19;501;5;6;26,31;4
1;35;19;502;4;5;23,77;3
1;35;19;503;1;2;6,5;8
1;35;19;504;1;2;6,5;7
1;35;19;505;5;6;22,4;30
1;35;19;506;5;6;23,57;33
1;35;19;507;8;9;35,94;5
1;35;46;501;10;11;53,9;746
1;35;46;502;9;10;51,36;6
1;35;46;503;6;7;34,09;3
1;35;46;504;6;7;34,09;4
1;35;46;505;4;5;16,97;22
1;35;46;506;2;3;8,14;13
1;35;46;507;5;6;20,51;24
1;36;1;501;2;3;6,66;2
1;36;1;502;2;3;8,72;13
1;36;1;503;5;6;33,91;4
1;36;1;504;5;6;33,91;44,6
1;36;1;505;9;10;49,81;67,125
1;36;1;506;9;10;50,98;6
1;36;1;507;12;13;63,35;869
1;36;19;501;5;6;26,31;4
1;36;19;502;4;5;23,77;32
1;36;19;503;1;2;6,5;863
1;36;19;504;1;2;6,5;7
1;36;19;505;5;6;22,4;30
1;36;19;506;5;6;23,57;3
1;36;19;507;8;9;35,94;52
1;36;46;501;10;11;53,9;7
1;36;46;502;9;10;51,36;6
1;36;46;503;6;7;34,09;373
1;36;46;504;6;7;34,09;4
1;36;46;505;4;5;16,97;2
1;36;46;506;2;3;8,14;13
1;36;46;507;5;6;20,51;2
1;37;1;501;2;3;6,66;2
